"ï..URI";"Vase.Number";"Fabric";"Technique";"Sub.Technique";"Shape.Name";"Provenance";"Date";"Inscriptions";"Attributed.To";"Decoration";"Collection.Record";"Publication.Record";"Inscriptions.II";"Measurements";"Volume";"Weight";"Restorations";"Ornament";"Technical.Observations"
"http://www.beazley.ox.ac.uk/record/8CED7520-56D2-43D4-B1DD-8B61826E954C";2308;"ATHENIAN";"RED-FIGURE";"WHITE GROUND";"LEKYTHOS FRAGMENT";"ATHENS, CERAMICUS";"";"";"NIKON P by FELTEN | TIMOKRATES P by FELTEN";"BD: HEAD OF WOMAN";"Athens, Ceramicus: 4137";"Mitteilungen des Deutschen Archaologischen Instituts, Athenische Abteilung: 91 (1976), PL.27.2";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/FB34996B-071C-4A50-9CEF-95796F6D136A";1001652;"SOUTH ITALIAN, GNATHIAN";"BLACK GLAZE";"ADDED COLOUR";"LEKYTHOS, SQUAT";"";"";"";"";"";"Philadelphia (PA), University of Pennsylvania: L64.401 |";"Corpus Vasorum Antiquorum: PHILADELPHIA, UNIVERSITY MUSEUM 1, 34, FIG.5.10, PL.(1093) 37.3 <a target=_blank href=browseCVARecord.asp?id={FB34996B-071C-4A50-9CEF-95796F6D136A}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/995A6A64-F66E-4A93-A87F-D9E9C8034563";302354;"ATHENIAN";"BLACK-FIGURE";"";"LEKYTHOS";"SICILY";"-550 to -500";"";"LEAGROS GROUP by BEAZLEY";"BD: HERAKLES (NAMED) IN OLYMPOS (?), DIONYSOS SEATED ON STOOL WITH KANTHAROS AND VINE, ATHENA, HERMES (NAMED) AND ARES, BOTH SEATED ON BLOCKS";"Berlin, Antikensammlung: F1961 | Berlin, Pergamonmuseum: F1961";"Beazley, J.D., Attic Black-Figure Vase-Painters (Oxford, 1956): 379.273 | Lexicon Iconographicum Mythologiae Classicae: V, PL.155, HERAKLES 3390";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/0CFEC313-DC2E-44E6-911C-E15E67FB752C";11126;"ATHENIAN";"RED-FIGURE";"";"CUP FRAGMENT";"FRANCE, ENSERUNE";"-425 to -375";"";"";"I: DRAPED FIGURE";"Enserune, Mouret |";"Corpus Vasorum Antiquorum: ENSERUNE, MOURET, 17, PL.(236) 7.8 <a target=_blank href=browseCVARecord.asp?id={0CFEC313-DC2E-44E6-911C-E15E67FB752C}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/F3614177-DAE5-4254-AF0B-11EDA17E9B90";9034771;"ETRUSCAN";"BLACK-FIGURE";"";"AMPHORA";"";"";"";"";"";"Munich, Antikensammlungen: Lost | Munich, Antikensammlungen: SH833";"Corpus Vasorum Antiquorum: MUNICH, ANTIKENSAMMLUNGEN EHEMALS MUSEUM ANTIKER KLEINKUNST 17, 146, PL.() 2";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/95EE4C67-C6A7-4B5B-86CF-D58AAB254B99";351859;"ATHENIAN";"BLACK-FIGURE";"";"LEKYTHOS";"ATTICA, DRAPHI";"-525 to -475";"";"HAIMON P by BEAZLEY";"BD: HERAKLES (WITHOUT LIONSKIN) AND THE BULL BETWEEN WOMEN SEATED ON STOOLS, IVY, QUIVER AND CLOTH SUSPENDED";"Athens, Mrs. Rosolymou: 167 | Athens, Mrs. Rosolymou: T1";"Beazley, J.D., Paralipomena (Oxford, 1971): 277";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/4FA77DCC-B6BB-419A-9010-E811EEA0E636";204977;"ATHENIAN";"RED-FIGURE";"";"CUP FRAGMENT";"ATHENS, ACROPOLIS";"-500 to -450";"";"MAKRON by BEAZLEY";"I: MAN DEPARTING (RETURNING ?), IN CHITONISKOS AND CHLAMYS, WITH SPEARS, DRAPED FIGURE, SEATED WITH STAFF";"Athens, National Museum, Acropolis Coll.: 2.277 |";"Beazley, J.D., Attic Red-Figure Vase-Painters, 2nd edition (Oxford, 1963): 477.297 BIS | Kunisch, N., Makron (Mainz, 1997): PL.121.354";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/446D3685-5EE8-4CB5-92AA-5D4AF2D0B176";23047;"ATHENIAN";"BLACK-FIGURE";"";"AMPHORA B";"";"-550 to -500";"";"";"A: HORSEMAN BETWEEN YOUTHS RUNNING";"St. Petersburg, State Hermitage Museum |";"PHOTOGRAPH(S) IN THE BEAZLEY ARCHIVE: 1 (A)";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/3928B82A-EDCC-4071-A3A2-44E3F710DCB4";9016115;"ATHENIAN";"BLACK GLAZE";"";"CUP";"";"";"";"";"";"Gotha, Schlossmuseum |";"Corpus Vasorum Antiquorum: GOTHA, SCHLOSSMUSEUM 2, 27, PL.(1407) 76.7 <a target=_blank href=browseCVARecord.asp?id={3928B82A-EDCC-4071-A3A2-44E3F710DCB4}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"<a href=http://www.beazley.ox.ac.uk/record/F07EB0A8-C0F2-4288-AA6C-65AA5563959C target=_blank>http://www.beazley.ox.ac.uk/record/F07EB0A8-C0F2-4288-AA6C-65AA5563959C</a>";9026132;"ATHENIAN";"BLACK-FIGURE";"";"CUP A";"";"";"";"";"A,B: WARRIOR AND YOUTH WITH SPEAR BETWEEN EYES | UH: SWANS";"London, market, Bonhams";"Bonhams: 5.10.2011, 148, NO.279 (COLOUR OF A)";NA;"";NA;NA;NA;NA;NA
